# Program:featureCounts v2.0.2; Command:"/Applications/software_bioinformatics/subread-2.0.2-macOS-x86_64/bin/featureCounts" "-T" "8" "-p" "-a" "/Users/rashmirao/Documents/Sidra_Externship/nextflow/RNA_seq_analysis_pc_version/raw_data/S288C_reference_genome_R64-5-1_20240529/yeast.gtf" "-o" "FeatureCounts.txt" "results_star/SRR18396493Aligned.sortedByCoord.out.bam" "results_star/SRR18396494Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results_star/SRR18396493Aligned.sortedByCoord.out.bam	results_star/SRR18396494Aligned.sortedByCoord.out.bam
YOL157C	chrXV	22525	24294	-	1770	332	187
YOL057W	chrXV	220767	222902	+	2136	2385	1934
YOR321W	chrXV	916030	918291	+	2262	334	305
YOR015W	chrXV	359993	360352	+	360	353	183
YOR111W	chrXV	530429	531127	+	699	1102	808
YOL008W	chrXV	310312	310935	+	624	221	326
YOR279C	chrXV	843698	844630	-	933	993	866
YOR394C-A	chrXV	1084202	1084369	-	168	4	0
YOR180C	chrXV	674352	675167	-	816	848	316
YOL055C	chrXV	224420	226075	-	1656	1150	1180
snR5	chrXV	842403	842606	+	204	8	2
YOL139C	chrXV	60383	61024	-	642	3176	2097
YOR287C	chrXV	850937	851839	-	903	542	356
YOR198C	chrXV	718653	720065	-	1413	1875	1372
YOR053W	chrXV	427817	428158	+	342	2	0
YOL054W	chrXV	228614	229834	+	1221	2459	2394
YOR012W	chrXV	356543	356956	+	414	81	47
YOL118C	chrXV	96608	96916	-	309	120	75
YOR034C	chrXV	394837	397086	-	2250	1981	1050
YOR374W	chrXV	1039840	1041399	+	1560	31557	16897
YOR018W	chrXV	364369	366882	+	2514	1953	1754
YOL084W	chrXV	162356	165331	+	2976	66061	37018
YOR314W	chrXV	903043	903372	+	330	0	0
YOR050C	chrXV	424270	424617	-	348	71	55
YOR391C	chrXV	1078545	1079258	-	714	787	490
YOR327C	chrXV	930734	931081	-	348	2015	1670
YOR352W	chrXV	997213	998244	+	1032	1191	809
YOR348C	chrXV	986899	988782	-	1884	35385	18721
YOL115W	chrXV	101475	103229	+	1755	613	395
YOR066W	chrXV	449436	451325	+	1890	1332	1309
YOR072W-A	chrXV	461791	462039	+	249	19	10
YOL096C	chrXV	138107	139045	-	939	875	613
tM(CAU)O2	chrXV	976421	976493	+	73	5	1
YOR020C	chrXV	370524	370844	-	321	2037	1945
YOR133W	chrXV	575098	577626	+	2529	800	600
YOR356W	chrXV	1007221	1009116	+	1896	2530	1360
YOR208W	chrXV	733925	736177	+	2253	3317	3499
YOR357C	chrXV	1009224	1009712	-	489	510	301
YOR277C	chrXV	841515	841823	-	309	0	0
YOR276W	chrXV	841333	841818	+	486	134	76
YOR247W	chrXV	797676	798308	+	633	210	223
snR50	chrXV	259489	259578	+	90	5	3
YOL047C	chrXV;chrXV	241614;242505	242441;242747	-;-	1071	543	492
YOR221C	chrXV	756476	757558	-	1083	2458	2145
YOR344C	chrXV	977194	978069	-	876	7510	7924
YOR269W	chrXV	826385	827869	+	1485	334	331
YOR152C	chrXV	617518	618288	-	771	871	488
YOR103C	chrXV	516449	516841	-	393	205	140
YOR377W	chrXV	1046226	1047803	+	1578	1121	665
YOR129C	chrXV	566877	569558	-	2682	764	490
YOL038C-A	chrXV	254926	255021	-	96	236	149
YOR156C	chrXV	628360	630540	-	2181	1489	1469
YOR329C	chrXV	936731	939349	-	2619	3903	2635
YOR351C	chrXV	995018	996511	-	1494	194	175
YOL040C	chrXV	253149	253577	-	429	4029	2443
YOL159C-A	chrXV	15233	15505	-	273	196	100
YOR051C	chrXV	424846	426084	-	1239	1087	913
YOR003W	chrXV	331455	332891	+	1437	1203	984
YOR064C	chrXV	446079	446738	-	660	1818	1281
YOR073W	chrXV	464771	466543	+	1773	397	259
YOR201C	chrXV	720470	721708	-	1239	788	476
YOR065W	chrXV	447439	448368	+	930	5848	3434
YOR186W	chrXV	683111	683545	+	435	341	259
YOR045W	chrXV	413852	414037	+	186	361	274
YOL018C	chrXV	290881	292074	-	1194	1726	1149
YOL133W	chrXV	70325	70690	+	366	413	270
YOR087W	chrXV	487707	489734	+	2028	745	509
YOL028C	chrXV	270633	271370	-	738	458	314
YOL086C	chrXV	159548	160594	-	1047	8021	6825
YOL108C	chrXV	111431	111886	-	456	4364	5050
YOL023W	chrXV	278056	280086	+	2031	779	862
YOR011W-A	chrXV	355652	355858	+	207	12	7
YOR165W	chrXV	644566	646896	+	2331	1966	1342
YOL068C	chrXV	200368	201879	-	1512	2010	1675
YOR138C	chrXV	584309	586324	-	2016	4331	3240
YOR016C	chrXV	360461	361084	-	624	1070	734
YOL121C	chrXV;chrXV	92026;92831	92440;92850	-;-	435	747	366
YOL126C	chrXV	81787	82920	-	1134	4279	2700
YOR235W	chrXV	779870	780184	+	315	21	11
YOR080W	chrXV	474594	476792	+	2199	1063	621
YOR169C	chrXV	651376	651840	-	465	3	3
YOR028C	chrXV	383533	384420	-	888	2639	1955
YOR225W	chrXV	761392	761721	+	330	25	23
YOR108C-A	chrXV	524605	524814	-	210	0	0
YOR109W	chrXV	525278	528601	+	3324	1997	1724
YOL093W	chrXV	142815	143696	+	882	774	480
YOR147W	chrXV	606607	608475	+	1869	3175	2115
YOR218C	chrXV	751476	751895	-	420	0	0
YOR254C	chrXV	805032	807023	-	1992	1551	1084
YOL080C	chrXV	180558	181427	-	870	112	77
YOR161W-B	chrXV	637975	638235	+	261	0	0
tY(GUA)O	chrXV;chrXV	288192;288245	288230;288280	+;+	75	0	0
YOR136W	chrXV	580250	581359	+	1110	1302	1129
tR(ACG)O	chrXV	340299	340371	-	73	0	0
YOR192C-C	chrXV	703988	704224	-	237	16	12
YOR205C	chrXV	725564	727234	-	1671	1048	837
YOR200W	chrXV	720417	720815	+	399	0	0
YOR305W	chrXV	889022	889750	+	729	530	385
YOR195W	chrXV	712866	715331	+	2466	1570	1770
YOL123W	chrXV	87844	89448	+	1605	2288	1192
YOR097C	chrXV	506978	507505	-	528	1494	940
YOL083C-A	chrXV	166461	166601	-	141	0	0
YOL086W-A	chrXV	159173	159445	+	273	1062	737
YOR337W	chrXV	954344	956623	+	2280	963	854
YOL100W	chrXV	129237	132482	+	3246	4473	4097
YOR289W	chrXV	853357	854112	+	756	13396	8006
YOR255W	chrXV	807271	808107	+	837	224	148
YOR304W	chrXV	884514	887876	+	3363	2903	2474
YOL163W	chrXV	9597	10106	+	510	251	208
YOR077W	chrXV	471899	472597	+	699	426	452
YOR074C	chrXV	466675	467589	-	915	63	42
YOR117W	chrXV	545029	546333	+	1305	3256	2481
YOR055W	chrXV	429478	429912	+	435	54	38
YOL166W-A	chrXV	585	740	+	156	2	0
YOL066C	chrXV	202696	204471	-	1776	1382	942
YOR396W	chrXV	1085473	1090863	+	5391	1	1
YOR161C-C	chrXV	639121	639267	-	147	45	16
tV(AAC)O	chrXV	663812	663885	-	74	31	28
YOR151C	chrXV	612997	616671	-	3675	3388	2285
YOR187W	chrXV	684030	685343	+	1314	2829	1749
YOL001W	chrXV	325249	326130	+	882	725	527
YOR005C	chrXV	334509	337343	-	2835	2370	1961
YOR199W	chrXV	720181	720510	+	330	31	23
YOR355W	chrXV	1005137	1006705	+	1569	2803	1768
YOR290C	chrXV	855147	860258	-	5112	5497	3997
YOR396C-A	chrXV	1090015	1090497	-	483	0	0
YOR047C	chrXV	416347	417681	-	1335	616	442
YOL014W	chrXV	299693	300067	+	375	88	99
YOR244W	chrXV	792531	793868	+	1338	1622	1232
YOL102C	chrXV	125997	126689	-	693	576	470
YOL060C	chrXV	214017	216137	-	2121	4214	3519
YOL041C	chrXV	251267	252646	-	1380	1040	652
YOL116W	chrXV	99809	100957	+	1149	690	514
YOR353C	chrXV	998453	1000828	-	2376	2097	1168
YOR299W	chrXV	878435	880675	+	2241	1333	1181
YOR366W	chrXV	1025256	1025609	+	354	0	0
tD(GUC)O	chrXV	571958	572029	+	72	2	6
YOR096W	chrXV;chrXV	505794;506339	505937;506767	+;+	573	530	292
YOR148C	chrXV	608640	609197	-	558	1073	625
YOR301W	chrXV	880965	882272	+	1308	262	237
YOR257W	chrXV	811008	811493	+	486	1481	2065
YOR135C	chrXV	580159	580500	-	342	91	69
YOR032W-A	chrXV	392176	392376	+	201	23	15
YOR223W	chrXV	759782	760660	+	879	2927	2876
YOR076C	chrXV	469377	471620	-	2244	815	615
YOR231C-A	chrXV	773163	773363	-	201	0	0
YOR316C-A	chrXV	907726	907935	-	210	64	34
tS(GCU)O	chrXV;chrXV	274673;274729	274709;274773	+;+	82	0	0
YOR061W	chrXV	441534	442553	+	1020	1768	1507
YOR025W	chrXV	378219	379562	+	1344	363	391
YOR371C	chrXV	1031489	1034182	-	2694	2208	1364
YOL140W	chrXV	58759	60030	+	1272	392	256
YOL062C	chrXV	210520	211995	-	1476	1512	1282
YOR292C	chrXV	865653	866582	-	930	404	292
tG(UCC)O	chrXV	110962	111033	-	72	2	2
YOR027W	chrXV	381053	382822	+	1770	19775	18290
tT(AGU)O2	chrXV	354041	354113	-	73	3	0
YOR142W-B	chrXV	595112	600380	+	5269	4	5
YOR192C-A	chrXV	708416	709732	-	1317	0	0
YOL103W-B	chrXV	118000	123268	+	5269	5	6
YOR142W-A	chrXV	595112	596434	+	1323	0	0
YOR192C-B	chrXV	704419	709732	-	5314	57	48
YOR343W-B	chrXV	970578	975891	+	5314	564	378
YOR343W-A	chrXV	970578	971894	+	1317	0	0
YOL103W-A	chrXV	118000	119322	+	1323	0	0
YGL087C	chrVII;chrVII	346406;346894	346808;346904	-;-	414	2783	2319
YGL156W	chrVII	210416	213667	+	3252	18181	12326
YGL015C	chrVII	465043	465435	-	393	18	30
RME2	chrVII	141898	144120	-	2223	2	1
YGR251W	chrVII	995639	996229	+	591	600	451
YGR162W	chrVII	824059	826917	+	2859	4542	2903
tK(UUU)G2	chrVII;chrVII	700953;701012	700988;701048	-;-	73	0	0
YGR005C	chrVII	504657	505859	-	1203	3463	2507
YGL160W	chrVII	200561	202273	+	1713	2885	1695
snR46	chrVII	545370	545566	+	197	37	20
tD(GUC)G1	chrVII	531610	531681	+	72	1	1
YGL211W	chrVII	92512	93591	+	1080	1131	845
YGR141W	chrVII	770569	771972	+	1404	3464	2637
YGL239C	chrVII	49431	49745	-	315	6	3
YGL097W	chrVII	321782	323230	+	1449	768	522
YGR030C	chrVII	545681	546157	-	477	239	119
YGR224W	chrVII	942806	944647	+	1842	677	426
YGR142W	chrVII	772454	773686	+	1233	3676	5756
YGR186W	chrVII	867774	869981	+	2208	5763	3672
YGR181W	chrVII	858287	858604	+	318	210	142
YGL081W	chrVII	357377	358339	+	963	544	360
YGR082W	chrVII	644044	644595	+	552	765	558
YGL028C	chrVII	441281	442909	-	1629	246	223
YGL021W	chrVII	454785	457067	+	2283	346	406
YGL110C	chrVII	301537	303411	-	1875	1935	1641
YGR167W	chrVII	832456	833157	+	702	5200	4067
YGL017W	chrVII	459854	461365	+	1512	836	817
tA(UGC)G	chrVII	794417	794489	+	73	0	0
YGR156W	chrVII	800546	801823	+	1278	677	496
YGR291C	chrVII	1076283	1076504	-	222	0	2
YGR197C	chrVII	892497	894140	-	1644	977	768
YGR041W	chrVII	577487	579130	+	1644	402	251
YGL079W	chrVII	359444	360100	+	657	375	319
YGL107C	chrVII	304333	306273	-	1941	753	524
YGL168W	chrVII	187464	187796	+	333	32	7
YGL228W	chrVII	67598	69331	+	1734	6663	5896
YGR183C	chrVII;chrVII	859063;859474	859260;859476	-;-	201	2786	1384
YGL050W	chrVII	405776	406597	+	822	764	572
YGR273C	chrVII	1038715	1039239	-	525	5	4
YGR086C	chrVII	649598	650617	-	1020	50180	30480
YGR228W	chrVII	949365	949709	+	345	0	0
YGL145W	chrVII	230243	232348	+	2106	1952	1768
YGR098C	chrVII	682566	687458	-	4893	765	540
YGR074W	chrVII	635712	636152	+	441	102	55
YGL098W	chrVII	317342	318079	+	738	2495	2052
snR7-S	chrVII	939494	939672	-	179	0	0
YGL096W	chrVII	325331	326161	+	831	891	487
YGR240C-A	chrVII	974577	974777	-	201	237	214
YGR172C	chrVII	842845	843591	-	747	603	541
YGR194C	chrVII	886073	887875	-	1803	2762	2333
YGL026C	chrVII	446412	448535	-	2124	1472	1239
YGL213C	chrVII	90054	91247	-	1194	420	345
YGL248W	chrVII	35653	36762	+	1110	11576	9798
YGL075C	chrVII	366925	368088	-	1164	370	364
YGL256W	chrVII	15159	16307	+	1149	1392	1693
YGL012W	chrVII	472855	474276	+	1422	306	226
YGL082W	chrVII	355827	356972	+	1146	2070	1577
YGR161C	chrVII	808629	809420	-	792	10137	7842
tW(CCA)G1	chrVII;chrVII	287350;287420	287385;287455	-;-	72	0	0
YGR274C	chrVII	1039895	1043095	-	3201	1895	1240
YGR031C-A	chrVII	546809	547300	-	492	0	0
YGL037C	chrVII	427297	427947	-	651	55279	38991
YGL252C	chrVII	25718	27484	-	1767	2040	1437
YGL250W	chrVII	31910	32635	+	726	1135	700
YGR260W	chrVII	1012485	1014089	+	1605	5425	3533
YGR159C	chrVII	806412	807656	-	1245	2160	1726
YGR006W	chrVII	506070	506825	+	756	291	244
YGL121C	chrVII	280777	281157	-	381	4581	3127
YGL040C	chrVII	419527	420555	-	1029	1539	886
YGR130C	chrVII	751394	753844	-	2451	19762	15769
YGR021W	chrVII	527632	528504	+	873	752	532
YGR097W	chrVII	678695	682135	+	3441	3520	3010
YGL170C	chrVII	184153	185394	-	1242	52	31
YGL166W	chrVII	191129	191806	+	678	979	679
YGL104C	chrVII	308713	310173	-	1461	2346	1643
YGR149W	chrVII	789031	790329	+	1299	5060	3550
YGR195W	chrVII	888882	889622	+	741	360	194
tG(GCC)G2	chrVII	930953	931023	-	71	0	1
YGR250C	chrVII	991176	993521	-	2346	8310	6435
YGL155W	chrVII	214081	215211	+	1131	564	423
YGL216W	chrVII	84885	87302	+	2418	1240	929
YGR029W	chrVII;chrVII	543553;543722	543638;544205	+;+	570	1154	706
YGL125W	chrVII	272520	274322	+	1803	2358	1425
YGR038W	chrVII	560682	561350	+	669	665	412
YGR008C	chrVII	508110	508364	-	255	29022	22323
YGR248W	chrVII	985972	986739	+	768	12277	9209
YGL094C	chrVII	331118	334465	-	3348	625	479
YGR131W	chrVII	754726	755250	+	525	426	183
YGR163W	chrVII	827552	828577	+	1026	1989	1415
YGR125W	chrVII	742325	745435	+	3111	3012	1877
YGR279C	chrVII	1048798	1049958	-	1161	370	434
YGL022W	chrVII	452404	454560	+	2157	2040	1776
tD(GUC)G2	chrVII	544577	544648	-	72	27	14
YGR271W	chrVII	1031791	1037694	+	5904	1454	999
YGL025C	chrVII	448764	449957	-	1194	1407	1056
YGL176C	chrVII	171415	173079	-	1665	1050	753
YGR031W	chrVII	546441	547469	+	1029	863	593
YGL102C	chrVII	311505	311933	-	429	86	39
YGR182C	chrVII	858551	858904	-	354	1208	625
YGR025W	chrVII	532639	532941	+	303	229	160
YGL113W	chrVII	295932	297938	+	2007	1001	905
YGR188C	chrVII	872044	875109	-	3066	717	703
YGL162W	chrVII	198138	199037	+	900	424	340
YGL084C	chrVII	350616	352298	-	1683	1500	1053
snR10	chrVII	345986	346230	+	245	26	24
YGL196W	chrVII	129883	131169	+	1287	2271	1342
RME3	chrVII	33109	35013	-	1905	0	0
YGR230W	chrVII	951894	952307	+	414	874	563
YGR084C	chrVII	647123	648142	-	1020	911	584
YGL222C	chrVII	80659	81186	-	528	1339	979
YGR166W	chrVII	830515	832197	+	1683	1136	770
YGR122C-A	chrVII	735630	735758	-	129	16	18
YGR152C	chrVII	794674	795492	-	819	64	47
YGL210W	chrVII	93792	94460	+	669	795	502
YGR265W	chrVII	1021648	1022058	+	411	50	52
YGR157W	chrVII	802440	805049	+	2610	2226	1485
YGL240W	chrVII	48613	49365	+	753	442	367
YGR085C	chrVII	648383	648907	-	525	571	356
YGR237C	chrVII	963298	965655	-	2358	3978	3450
YGL146C	chrVII	228751	229686	-	936	859	404
YGL153W	chrVII	216273	217298	+	1026	614	441
YGR075C	chrVII	636147	636875	-	729	367	242
tT(UGU)G2	chrVII	1004216	1004287	+	72	2	3
YGL169W	chrVII	186059	187339	+	1281	989	727
YGR187C	chrVII	870232	871416	-	1185	1002	631
YGL167C	chrVII	187616	190468	-	2853	5233	3428
YGR050C	chrVII	592086	592442	-	357	147	142
YGR035W-A	chrVII	557565	557786	+	222	87	68
YGR217W	chrVII	924696	930815	+	6120	1171	652
YGR068C	chrVII	625324	627084	-	1761	651	441
YGR296W	chrVII;chrVII	1084864;1085031	1084882;1090591	+;+	5580	0	0
YGR177C	chrVII	848829	850436	-	1608	64	43
YGL068W	chrVII	375087	375671	+	585	66	22
tN(GUU)G	chrVII	731137	731210	+	74	3	0
YGL018C	chrVII	459110	459664	-	555	356	283
YGL188C	chrVII	149343	149516	-	174	25	4
YGR126W	chrVII	745835	746527	+	693	461	263
YGL065C	chrVII	379760	381271	-	1512	466	343
YGL014W	chrVII	466141	468807	+	2667	2828	2181
YGL100W	chrVII	313234	314283	+	1050	1595	1095
YGR288W	chrVII	1070293	1071714	+	1422	640	441
YGL174W	chrVII	174545	175345	+	801	472	255
YGR211W	chrVII	915241	916701	+	1461	2797	3136
YGL204C	chrVII	111700	112005	-	306	231	137
YGR270W	chrVII	1027370	1031509	+	4140	4986	4007
YGR204W	chrVII	905934	908774	+	2841	5471	5563
YGR266W	chrVII	1022656	1024761	+	2106	1485	961
YGL070C	chrVII	374459	374827	-	369	563	324
YGL225W	chrVII	76894	77907	+	1014	296	251
YGL120C	chrVII	281634	283937	-	2304	1198	942
tE(UUC)G1	chrVII	328583	328654	+	72	27	19
YGR252W	chrVII	996869	998188	+	1320	1064	868
YGL106W	chrVII	306560	307009	+	450	1706	1313
YGR284C	chrVII	1060658	1061590	-	933	1937	1616
YGR032W	chrVII	548264	553951	+	5688	26143	18691
YGR174C	chrVII	845893	846405	-	513	1910	1547
YGR208W	chrVII	911883	912812	+	930	170	127
YGL016W	chrVII	461666	464911	+	3246	273	228
YGR255C	chrVII	1002523	1003962	-	1440	2154	1584
YGR146C-A	chrVII	785276	785437	-	162	83	88
YGL194C	chrVII	140368	141726	-	1359	841	494
YGL138C	chrVII	248494	249531	-	1038	31	12
YGR091W	chrVII	666341	667825	+	1485	627	432
YGR200C	chrVII	899904	902270	-	2367	1422	1006
YGR191W	chrVII	880420	882231	+	1812	1093	886
YGR270C-A	chrVII	1027382	1027600	-	219	0	0
YGL227W	chrVII	69671	72547	+	2877	4196	3535
YGR081C	chrVII	643148	643780	-	633	760	409
YGL243W	chrVII	43307	44509	+	1203	977	752
YGL194C-A	chrVII	139719	139961	-	243	407	231
YGR148C	chrVII	787312	787779	-	468	1557	1015
YGL136C	chrVII	252897	253859	-	963	1658	1444
YGR276C	chrVII	1043819	1045480	-	1662	1582	1157
YGL129C	chrVII	267723	269075	-	1353	1026	1109
tR(UCU)G2	chrVII	828723	828794	-	72	0	0
YGR053C	chrVII	594986	595837	-	852	1055	770
YGR069W	chrVII	627083	627418	+	336	6	7
YGL224C	chrVII	78015	78857	-	843	439	366
YGL193C	chrVII	141916	142227	-	312	0	0
YGL020C	chrVII	457163	457870	-	708	497	351
YGL177W	chrVII	167559	167906	+	348	105	83
YGL189C	chrVII	148229	148588	-	360	2165	1212
YGR122W	chrVII	733935	735143	+	1209	623	382
YGL003C	chrVII	492474	494174	-	1701	2125	1441
YGR210C	chrVII	913503	914738	-	1236	2342	1639
tG(GCC)G1	chrVII	845649	845719	+	71	0	2
YGR079W	chrVII	640720	641832	+	1113	1803	1285
YGL115W	chrVII	292033	293001	+	969	1072	708
YGL105W	chrVII	307437	308567	+	1131	2528	1862
YGR026W	chrVII	532985	533821	+	837	2253	1700
YGR087C	chrVII	651290	652981	-	1692	17050	16735
YGR278W	chrVII	1046731	1048464	+	1734	724	505
YGR042W	chrVII	579476	580291	+	816	1077	743
YGR043C	chrVII	580435	581436	-	1002	63486	44566
YGL165C	chrVII	191398	191976	-	579	96	50
YGR110W	chrVII	713709	715046	+	1338	2032	1153
YGR089W	chrVII	656960	659770	+	2811	1675	1086
YGL158W	chrVII	207033	208571	+	1539	746	641
YGR262C	chrVII	1016974	1017759	-	786	1823	1304
YGL200C	chrVII	122694	123305	-	612	1284	807
YGL117W	chrVII	288512	289309	+	798	1252	891
YGL186C	chrVII	151037	152776	-	1740	1179	816
YGR010W	chrVII	511545	512732	+	1188	1184	919
YGR198W	chrVII	894693	897146	+	2454	1238	951
YGR137W	chrVII	762888	763262	+	375	35	36
YGL058W	chrVII	393986	394504	+	519	977	983
YGL226W	chrVII	73340	73711	+	372	168	133
YGL055W	chrVII	398628	400160	+	1533	7835	6031
YGL184C	chrVII	154615	156012	-	1398	780	713
YGL024W	chrVII	449788	450123	+	336	9	7
tV(AAC)G3	chrVII	73829	73902	-	74	3	9
YGL151W	chrVII	217524	220922	+	3399	1625	1197
YGR101W	chrVII	693363	694403	+	1041	1144	719
YGL230C	chrVII	63772	64215	-	444	46	24
YGR103W	chrVII	695417	697234	+	1818	2550	1465
YGR096W	chrVII	676621	677565	+	945	627	386
YGR112W	chrVII	717358	718527	+	1170	1039	836
tI(AAU)G	chrVII	739122	739195	+	74	2	0
YGL013C	chrVII	469092	472298	-	3207	2768	1729
YGL076C	chrVII;chrVII;chrVII	364335;365433;365986	364964;365526;365996	-;-;-	735	484	263
YGR067C	chrVII	622372	624786	-	2415	6792	2724
YGR094W	chrVII	672186	675500	+	3315	2932	1760
YGL226C-A	chrVII;chrVII	72749;73138	72988;73158	-;-	261	147	187
YGR045C	chrVII	583934	584296	-	363	252	157
YGR175C	chrVII	846933	848423	-	1491	5213	3124
YGL008C	chrVII	479910	482666	-	2757	6192	6201
YGR115C	chrVII	720372	721151	-	780	0	0
YGR108W	chrVII	703636	705051	+	1416	55	60
YGR218W	chrVII	932541	935795	+	3255	6545	4128
YGR205W	chrVII	909213	910085	+	873	629	265
YGL073W	chrVII	368753	371254	+	2502	3340	2410
YGL009C	chrVII	476313	478652	-	2340	8053	5602
YGL095C	chrVII	328874	330607	-	1734	2158	1408
YGL137W	chrVII;chrVII	249869;250087	249886;252738	+;+	2670	3321	2589
YGL214W	chrVII	90010	90495	+	486	2	0
YGR105W	chrVII	698599	698832	+	234	1119	726
YGR001C	chrVII;chrVII;chrVII	497133;497459;498000	497365;497937;498034	-;-;-	747	972	725
tK(UUU)G1	chrVII;chrVII	115488;115548	115524;115583	+;+	73	2	0
YGL217C	chrVII	84839	85180	-	342	6	2
YGL173C	chrVII	175527	180113	-	4587	5696	3343
YGL086W	chrVII	347119	349368	+	2250	1592	1472
YGR223C	chrVII	940869	942215	-	1347	1377	1162
tS(AGA)G	chrVII	561662	561743	-	82	0	1
YGR077C	chrVII	637744	639513	-	1770	1416	899
YGL052W	chrVII	403437	403742	+	306	348	213
YGR285C	chrVII	1061852	1063153	-	1302	2315	1926
YGL080W	chrVII	358636	359028	+	393	2018	1043
YGL207W	chrVII	98969	102076	+	3108	3639	2470
YGR261C	chrVII	1014321	1016750	-	2430	1357	992
YGR226C	chrVII	946792	947001	-	210	0	0
YGL140C	chrVII	241353	245012	-	3660	3276	2455
YGL078C	chrVII	360288	361859	-	1572	1729	1173
YGL199C	chrVII	123572	124042	-	471	1	0
YGR164W	chrVII	828625	828960	+	336	15	8
YGR150C	chrVII	790459	793053	-	2595	1056	971
YGL006W-A	chrVII	485423	485533	+	111	43	36
YGR196C	chrVII	889733	892186	-	2454	2974	2014
YGL197W	chrVII	124698	129161	+	4464	5628	3664
YGR136W	chrVII	762428	763153	+	726	1787	1601
YGR153W	chrVII	796092	796745	+	654	236	136
YGL159W	chrVII	202721	203833	+	1113	359	246
YGR286C	chrVII	1063813	1064940	-	1128	9915	3747
YGL254W	chrVII	22304	23203	+	900	594	360
tH(GUG)G1	chrVII	110625	110696	-	72	3	2
YGR023W	chrVII	529264	530919	+	1656	3539	3505
snR48	chrVII	609584	609696	+	113	12	8
YGL063W	chrVII	383654	384766	+	1113	520	246
YGL154C	chrVII	215278	216096	-	819	448	359
YGL035C	chrVII	431548	433062	-	1515	3712	2734
YGR009C	chrVII	509047	511002	-	1956	5564	4687
YGR034W	chrVII;chrVII	555812;556308	555830;556672	+;+	384	761	338
YGL064C	chrVII	381523	383208	-	1686	364	282
YGR118W	chrVII;chrVII	726974;727358	727038;727730	+;+	438	1556	826
YGR277C	chrVII	1045644	1046561	-	918	1271	789
YGR232W	chrVII	953960	954646	+	687	469	276
YGR227W	chrVII	947420	948997	+	1578	707	504
YGL142C	chrVII	236269	238119	-	1851	1464	807
YGL143C	chrVII	234717	235958	-	1242	466	396
YGR222W	chrVII	939923	940804	+	882	2780	1293
YGL045W	chrVII	414102	415730	+	1629	3624	3497
YGL253W	chrVII	23935	25395	+	1461	2425	2065
YGR257C	chrVII	1006205	1007305	-	1101	1520	805
YGL131C	chrVII	261648	265859	-	4212	2182	1641
YGR064W	chrVII	617621	617989	+	369	13	7
YGR263C	chrVII	1017967	1019241	-	1275	598	459
YGL049C	chrVII	406860	409604	-	2745	2250	2056
YGR296C-B	chrVII	1089746	1090228	-	483	0	0
YGL202W	chrVII	116059	117561	+	1503	2185	1815
YGL258W-A	chrVII	9162	9395	+	234	73	49
YGR133W	chrVII	756896	757447	+	552	1117	760
YGR109C	chrVII	705359	706501	-	1143	102	82
YGR037C	chrVII	559731	559994	-	264	2694	1549
YGL077C	chrVII	362225	363916	-	1692	657	487
YGR111W	chrVII	715828	717030	+	1203	3517	2891
YGR016W	chrVII	522261	522833	+	573	95	99
YGR245C	chrVII	979765	982068	-	2304	1350	1065
YGR287C	chrVII	1067222	1068991	-	1770	158	101
YGL244W	chrVII	41498	43174	+	1677	4377	4322
YGL057C	chrVII	394966	395829	-	864	396	245
YGL187C	chrVII	149704	150171	-	468	1672	882
YGR180C	chrVII	855264	856301	-	1038	4605	2759
YGR116W	chrVII	720409	724764	+	4356	2637	1612
YGL181W	chrVII	157906	159096	+	1191	4430	2741
YGR202C	chrVII	903474	904748	-	1275	3119	2462
YGL127C	chrVII	270392	270775	-	384	2136	1736
YGR203W	chrVII	905237	905683	+	447	318	199
YGL150C	chrVII	221104	225573	-	4470	4432	3293
YGR134W	chrVII	757770	761138	+	3369	1136	907
YGR095C	chrVII	675671	676342	-	672	782	566
YGR214W	chrVII;chrVII	920575;921120	920664;921788	+;+	759	2205	1322
YGR269W	chrVII	1026636	1026962	+	327	433	301
YGR176W	chrVII	848720	849067	+	348	1	0
YGL263W	chrVII	2790	3932	+	1143	0	0
YGR057C	chrVII	604773	605501	-	729	1052	595
YGL074C	chrVII	368596	368922	-	327	20	8
YGR007W	chrVII	506969	507940	+	972	1098	860
YGR241C	chrVII	974875	976581	-	1707	2965	1979
YGR127W	chrVII	746798	747736	+	939	716	470
YGL219C	chrVII	82878	84257	-	1380	2261	1863
YGL061C	chrVII	388968	389711	-	744	228	182
YGR083C	chrVII	644860	646815	-	1956	2785	1919
YGL038C	chrVII	425362	426804	-	1443	2118	1758
YGL047W	chrVII	411552	412160	+	609	613	560
YGR244C	chrVII	978036	979319	-	1284	4975	3309
YGR289C	chrVII	1073963	1075813	-	1851	465	221
YGL089C	chrVII	344791	345153	-	363	72	60
YGL180W	chrVII	160065	162758	+	2694	3902	2212
YGR146C	chrVII	784223	784858	-	636	5003	3508
YGL149W	chrVII	225572	225877	+	306	109	86
YGL242C	chrVII	44652	45197	-	546	908	842
YGR106C	chrVII	698989	699786	-	798	2069	1588
YGR004W	chrVII	502938	504326	+	1389	272	171
YGR209C	chrVII	912913	913227	-	315	3611	2250
YGR052W	chrVII	593596	594705	+	1110	7264	4435
YGR158C	chrVII	805269	806021	-	753	664	469
YGR003W	chrVII	500132	502366	+	2235	1745	1383
